,Weekday Entries 0-4 am,Weekday Entries 4-8 am,Weekday Entries 8-12 pm,Weekday Entries 12-4 pm,Weekday Entries 4-8 pm,Weekday Entries 8-12 am,Weekend Entries 0-4 am,Weekend Entries 4-8 am,Weekend Entries 8-12 pm,Weekend Entries 12-4 pm,Weekend Entries 4-8 pm,Weekend Entries 8-12 am,Weekday Exits 0-4 am,Weekday Exits 4-8 am,Weekday Exits 8-12 pm,Weekday Exits 12-4 pm,Weekday Exits 4-8 pm,Weekday Exits 8-12 am,Weekend Exits 0-4 am,Weekend Exits 4-8 am,Weekend Exits 8-12 pm,Weekend Exits 12-4 pm,Weekend Exits 4-8 pm,Weekend Exits 8-12 am
59 ST,1334,7154,15292,16655,32353,9690,1729,2836,7722,11858,13198,6933,1023,9265,22857,11622,13282,4658,1227,2596,7662,9183,7737,4455
5 AV/59 ST,586,418,1601,5140,7053,3698,35,269,1176,3201,4183,2363,148,3138,4502,2664,1794,671,31,899,2346,2693,1597,523
57 ST-7 AV,844,1143,5044,6823,16815,6667,1443,530,3683,5710,7537,5341,188,3018,9527,3837,4076,1456,396,1412,3465,4347,3981,1892
49 ST,828,644,3515,4610,12580,5889,1407,417,2524,3662,5066,4878,277,3272,8810,4177,5217,1785,519,967,2642,3721,4199,2437
TIMES SQ-42 ST,3678,5648,14784,17593,46960,21404,6971,2051,8056,13184,18318,19381,1060,9217,36515,17590,23524,7140,1887,3169,11545,17807,21419,11937
34 ST-HERALD SQ,1920,7155,22760,23330,54582,18306,4188,2007,8461,18815,26120,16969,818,10884,40329,22412,31644,8665,1957,3657,15420,19999,17422,12104
28 ST,1244,3285,8046,11897,20380,8472,978,920,3319,5555,5596,3507,506,6398,14427,10044,10632,3967,462,1853,5238,6456,5758,3723
23 ST,2255,6584,21184,26511,49864,19887,2621,1492,7175,17588,19079,9802,885,11033,30940,18783,22032,7148,1044,3002,10235,14774,10330,5364
14 ST-UNION SQ,4198,8133,13823,23543,36586,21264,2538,2563,8734,19431,21917,15620,1517,14423,23899,20760,20711,9021,799,4031,13375,18995,16449,9048
8 ST-NYU,421,810,3963,3011,5738,3150,1336,350,1304,3400,4092,3111,151,624,3219,2234,4229,1423,474,280,1777,2767,3038,2129
PRINCE ST,198,261,1875,3213,6459,2341,580,151,950,3933,5424,2577,123,842,4699,3321,4005,809,271,415,2988,4650,3928,1412
CANAL ST,1738,2370,9986,18063,32177,12634,1174,1197,5868,15316,17335,9683,685,6787,22197,13273,10675,3873,573,2544,10177,12297,9791,4531
CITY HALL,62,189,1203,1992,3803,882,105,52,470,1381,1178,695,13,593,1878,927,696,273,30,98,537,604,489,152
CORTLANDT ST,313,1522,2610,4307,7950,3145,117,522,2183,5038,5388,2729,177,3543,4274,3002,3192,1349,126,502,2061,3286,2696,1409
RECTOR ST,118,882,4112,3662,7786,1385,291,297,1933,3414,3709,1468,81,1016,4005,1596,1827,726,159,231,1089,1320,1151,925
WHITEHALL S-FRY,304,1929,2645,4637,7431,2757,173,867,2224,4470,5265,2461,360,4392,5842,4125,3401,1514,306,1140,3722,4269,3149,1869
DELANCEY/ESSEX,1032,3868,4672,5945,6147,3717,1243,1374,3014,4842,4937,3864,539,2818,3544,3757,4922,2602,478,1192,2895,3797,3820,2922
BOWERY,232,137,532,754,1341,786,473,98,324,867,1241,824,40,234,898,548,752,261,143,183,854,887,810,472
CHAMBERS ST,646,2440,9727,15384,31465,7033,1145,744,2877,7098,7235,4322,367,6936,22172,10132,8838,2427,846,1271,7671,8627,6969,3385
FULTON ST,1888,7599,13785,22998,40018,14728,423,1208,3959,8100,9527,5933,1385,17372,29696,15789,14438,6032,329,1545,4405,5446,5098,2860
BROAD ST,176,240,613,1927,3769,1501,87,135,475,994,1258,723,31,937,1078,560,240,129,48,160,467,514,312,179
7 AV,879,6460,8197,9004,12058,5444,389,1312,4250,5904,5997,4258,951,6674,9151,7440,8849,4591,408,1655,3686,5509,5364,3697
PARK PLACE,84,517,938,1303,2464,551,111,185,527,942,894,570,80,794,1961,976,967,516,78,220,599,684,642,402
BOTANIC GARDEN,33,241,304,509,357,108,16,62,171,331,254,117,74,283,479,511,578,317,40,104,371,501,438,298
PROSPECT PARK,129,2075,4130,1981,1892,701,197,640,1825,2575,2470,1152,442,453,1218,1772,3899,2265,718,292,1168,2054,2345,1576
PARKSIDE AV,173,1807,1654,1217,949,447,69,555,1156,1444,1241,676,322,289,423,802,1453,1086,220,238,431,788,1062,905
CHURCH AV,550,10081,12262,6891,6005,2231,446,3233,6524,6575,5291,2552,1092,1430,3315,5073,10688,5245,1737,848,2568,3781,5224,4211
BEVERLEY ROAD,48,861,1232,583,510,191,48,267,644,636,478,251,174,123,220,566,1277,710,293,95,235,437,659,604
CORTELYOU RD,54,1723,2464,1059,977,395,93,518,1265,1307,984,491,71,128,305,473,651,346,102,82,239,355,453,425
NEWKIRK PLAZA,209,3374,3087,2254,1568,623,73,966,1876,1975,1332,606,589,616,1010,2120,3673,2336,290,344,715,1270,1849,1480
AVENUE H,20,716,1029,597,557,160,23,216,473,512,355,190,86,151,398,451,834,493,165,65,164,342,437,388
AVENUE J,51,1318,2190,1257,1293,412,72,451,940,941,776,380,84,300,645,643,1041,527,121,115,215,388,532,442
AVENUE M,28,1212,2039,1496,1336,322,41,337,738,742,612,267,39,252,663,504,663,315,35,63,207,255,322,273
KINGS HWY,287,8597,9796,5733,5242,1639,164,2261,4327,4340,3474,1417,667,1631,3847,4949,10616,4402,873,828,1875,2811,4016,2855
AVENUE U,200,3550,3112,2158,1771,661,83,1423,2348,2154,1603,680,229,527,793,1287,2207,1168,146,302,587,894,1199,895
NECK RD,36,1481,1745,605,624,201,38,445,869,687,526,238,22,15,93,211,696,214,49,29,49,143,219,214
SHEEPSHEAD BAY,302,4931,3743,2635,2274,984,113,974,1833,1917,1510,796,434,1128,1656,2658,4703,2463,256,562,1036,1559,1962,1375
BRIGHTON BEACH,112,2662,3442,3263,3733,1338,116,832,1752,2322,2510,1112,198,549,2086,2689,3187,1184,233,246,1244,1566,1511,884
OCEAN PKWY,31,783,918,784,804,273,51,213,553,723,651,279,42,105,354,422,610,175,72,77,296,422,381,212
BOROUGH HALL,334,2070,10147,9582,13301,3259,629,333,2182,4037,3867,2354,168,2746,8471,4747,6668,2025,330,564,2520,3160,2888,1507
JAY ST-METROTEC,525,2176,7763,11094,18216,3829,888,924,3325,6154,5796,3348,276,3301,9612,4499,4537,1856,583,751,2768,3357,3603,2194
DEKALB AV,380,5002,10891,6430,7998,2478,684,1694,5119,6038,4975,2781,397,1227,2628,2170,3794,1926,644,519,1445,1937,2313,1338
ATL AV-BARCLAY,610,5639,12803,7933,10973,4620,3303,1239,4280,7898,8769,6841,535,3043,7248,7618,16006,4403,1236,1348,5076,8073,9554,5347
UNION ST,87,853,2576,1000,1472,638,114,48,181,399,418,362,93,514,901,861,2081,943,204,143,502,644,722,535
4AV-9 ST,108,1767,4462,1933,2831,976,176,279,1394,1900,1822,1580,171,1119,1633,1354,2872,1192,312,365,979,1357,1284,991
25 ST,64,988,1993,964,1419,344,45,153,454,555,495,242,176,667,915,672,1397,753,257,140,314,467,467,441
36 ST,346,3265,3747,4408,5503,2091,206,1533,2726,3438,2935,1579,475,1925,2522,2215,2395,1448,352,901,1550,2081,2227,1617
45 ST,46,2330,2786,1664,1789,446,85,480,1089,1061,745,331,279,367,763,928,2208,1068,400,224,556,715,776,963
77 ST,610,5907,8217,9335,9624,4320,188,1009,3256,5342,5517,2963,444,5625,7579,6531,7895,3281,279,1711,3982,4829,3621,2166
86 ST,1122,11393,23202,19807,27124,13865,1313,2463,8978,14499,16520,8417,1022,8458,17335,16267,29295,9199,1258,3064,9403,12504,11774,6589
BAY RIDGE-95 ST,46,1962,1974,896,980,233,64,385,870,871,644,286,45,267,487,545,1682,673,162,120,302,389,535,432
8 AV,1392,3639,5948,8111,10697,6210,1184,1680,4521,8108,8776,5748,764,3180,5775,6186,6770,3607,468,1645,4843,6136,5732,3634
FT HAMILTON PKY,220,4791,4248,3052,2433,894,72,1203,2520,2389,1855,804,458,841,1127,1875,3310,2067,223,444,776,1212,1651,1493
NEW UTRECHT AV,62,987,887,747,725,244,22,501,711,580,390,156,140,647,623,707,1146,636,94,199,311,474,738,608
18 AV,146,4525,4620,2538,2581,779,105,1482,2743,2255,1591,764,326,645,1352,1947,3835,1754,286,282,752,1329,1931,1370
20 AV,84,2875,2593,1338,1062,418,51,984,1697,1260,810,414,50,84,228,335,909,331,75,63,165,264,399,166
BAY PKWY,286,5628,5008,2996,2179,884,97,2621,3897,3275,2438,1044,647,898,1724,3010,5829,3070,413,952,2059,3435,3797,2351
9 AV,106,1651,1614,1032,851,322,43,620,1057,924,559,254,350,454,647,1053,1917,1278,158,217,361,744,987,1032
50 ST,1178,2198,8064,9738,22215,8835,2545,975,5115,6970,8266,6731,431,5525,15148,7008,9721,3375,1056,1397,3972,6306,6527,3634
55 ST,50,301,591,501,633,163,35,98,197,221,164,84,22,108,282,233,297,128,23,23,76,76,97,83
71 ST,34,2023,2196,749,685,213,39,638,1236,788,524,205,78,59,217,299,799,379,97,42,130,234,352,336
79 ST,431,4148,5549,5264,5223,2412,187,1092,3298,4358,4435,2499,269,1227,2057,2246,3077,1423,191,500,1426,1908,1707,1111
25 AV,109,2058,1508,941,675,256,45,33,4,0,5,98,66,67,142,268,463,254,34,12,0,0,7,73
BAY 50 ST,55,991,855,673,414,140,17,15,3,0,7,50,17,131,209,154,106,57,4,10,4,0,0,17
CONEY IS-STILLW,901,3148,3090,4480,5695,2908,291,1246,2037,4365,6435,4328,622,1335,2905,4007,4187,2078,378,740,1700,2648,2413,1823
W 8 ST-AQUARIUM,19,431,613,772,925,222,48,65,288,815,1359,513,18,118,965,833,555,152,33,47,578,1351,809,233
6 AV,117,397,987,987,2331,1105,333,98,530,1654,1668,1201,36,290,732,732,514,195,108,103,506,601,523,301
3 AV,251,196,727,1271,2670,1658,792,138,565,1473,1702,1268,89,888,2152,1189,1465,695,344,206,943,1251,1513,1170
1 AV,556,1626,5221,4398,6751,3615,1528,561,2588,4789,4422,3357,378,3492,5338,4000,6331,3346,1204,831,3033,3767,4799,4175
BEDFORD AV,655,2768,9783,4741,6680,4163,2832,804,3668,9796,11762,7891,510,2077,4332,5016,13141,6247,1690,774,5473,13170,10970,6562
LORIMER ST,273,2841,3076,2191,1861,996,241,683,1569,1711,1568,1279,168,316,478,667,1244,739,103,166,391,703,875,667
GRAHAM AV,112,1399,4568,1842,2116,719,340,356,1623,2125,1772,1198,215,639,1082,1105,2440,1549,458,249,756,1254,1600,1332
GRAND ST,417,2226,6689,7586,10603,4626,963,876,3265,6700,7296,3510,527,3470,8399,4853,5577,2822,707,1287,5081,4574,3607,2512
MONTROSE AV,124,978,2532,1391,1620,631,349,354,1268,1586,1521,1155,216,403,604,741,1442,953,399,258,493,850,1395,950
MORGAN AV,128,894,2411,1443,1961,1075,415,343,1287,1931,1719,1173,146,527,792,621,1036,667,260,213,478,739,947,776
JEFFERSON ST,132,1283,2356,1330,1811,660,432,467,1205,1704,1353,1096,61,186,299,337,549,337,120,70,207,351,462,369
MYRTLE-WYCKOFF,267,4957,6496,3724,3425,1457,483,2076,4327,4516,3336,1845,797,722,1372,2197,4663,2833,1255,501,1237,1980,2976,2511
HALSEY ST,230,4138,4762,2755,2274,921,283,1342,2859,2781,2193,1436,519,568,660,1283,3056,1911,719,347,561,1057,1684,1557
WILSON AV,49,1139,1618,917,726,277,91,374,859,1022,673,495,276,311,442,682,1607,1089,465,138,268,587,957,893
BUSHWICK AV,25,512,679,410,415,155,42,159,408,516,386,219,91,102,156,228,460,359,138,67,125,259,313,318
ATLANTIC AV,35,467,450,322,588,152,26,135,249,322,294,209,15,187,169,141,225,90,21,55,84,127,119,85
SUTTER AV,144,1276,1148,1003,809,364,75,507,692,799,658,404,238,270,412,731,1016,676,163,261,358,543,665,639
LIVONIA AV,84,983,811,636,499,230,42,413,569,633,500,295,107,292,379,531,700,404,90,176,254,389,488,351
NEW LOTS,192,1769,1267,993,812,412,109,603,761,835,658,419,315,608,623,1052,1531,944,188,344,505,766,911,814
EAST 105 ST,127,1337,1023,718,583,334,48,370,513,555,407,252,240,514,431,762,1186,707,153,252,265,436,528,468
CANARSIE-ROCKAW,428,4546,3171,2310,1959,921,160,1262,1571,1708,1443,893,191,297,441,700,1218,700,124,204,365,588,635,485
HOWARD BCH JFK,261,798,723,841,916,632,106,317,496,786,740,574,234,506,682,1029,1200,588,144,384,546,959,850,502
JFK JAMAICA CT1,371,1101,1540,2359,2078,976,204,884,1334,2380,2101,1012,512,831,1143,1796,1790,1233,182,716,1198,1870,1921,1364
MARCY AV,383,2649,3305,3246,3383,1683,377,872,2107,2907,2676,1690,305,1786,1888,2088,3274,1650,215,652,1321,1911,1928,1311
HEWES ST,76,581,724,631,568,274,41,60,109,196,192,205,74,118,179,228,467,318,56,43,67,145,209,154
FLUSHING AV,263,1823,2535,3179,3110,1260,126,404,1008,1372,1207,770,184,1007,1213,1117,1284,661,82,154,322,391,409,319
MYRTLE AV,325,3290,3514,2532,1996,955,259,995,2214,2372,1823,1152,545,572,792,1299,2585,2123,372,557,780,1161,1595,1553
KOSCIUSZKO ST,148,1412,1530,1202,825,394,109,484,1067,1155,885,573,141,218,257,361,546,453,129,121,209,285,431,383
GATES AV,161,1712,1781,1540,1162,402,81,584,1150,1352,1034,585,166,248,291,510,863,431,107,141,197,329,453,389
CHAUNCEY ST,115,901,918,704,532,254,42,311,566,659,498,312,92,128,177,300,488,316,83,85,115,223,277,225
ALABAMA AV,99,519,503,582,564,285,54,249,325,408,376,270,90,578,488,502,569,327,54,238,291,330,417,318
VAN SICLEN AV,105,2058,1747,1163,833,376,44,352,491,508,351,225,320,387,643,1293,2443,1160,129,155,264,484,641,509
CLEVELAND ST,109,1119,857,636,484,199,47,387,529,524,437,248,176,292,354,820,1092,597,111,155,298,563,656,501
NORWOOD AV,117,1150,916,645,466,240,52,479,567,510,432,260,213,280,393,808,1105,647,147,204,282,588,696,542
CRESCENT ST,152,1724,1355,842,608,278,69,699,890,832,610,323,284,351,643,1300,1865,1029,190,252,459,886,1032,813
CYPRESS HILLS,22,510,439,285,211,74,25,176,193,202,147,74,35,104,113,210,365,139,40,37,69,138,164,121
75 ST-ELDERTS,34,1328,936,721,521,179,45,469,609,594,342,199,89,112,327,574,846,378,134,55,296,287,401,275
85 ST-FOREST PK,47,1524,1163,602,464,182,44,500,722,568,409,247,87,60,165,367,829,361,116,41,129,254,358,196
WOODHAVEN BLVD,496,7592,6721,5713,5198,2229,190,2058,3271,4026,3608,1990,502,929,2326,3837,4858,2262,246,446,1387,2848,2572,1353
104 ST,57,1542,940,509,402,141,53,405,509,462,267,125,33,44,82,174,422,136,49,21,76,138,146,93
111 ST,243,6793,5038,2866,2312,805,230,2590,3392,2595,2212,1568,655,552,1221,1794,4449,2161,793,476,928,1569,2494,2043
121 ST,22,205,180,196,218,63,26,80,97,137,122,38,6,11,23,39,22,24,9,14,40,50,21,26
CENTRAL AV,49,1165,1208,753,501,203,37,160,360,435,291,160,157,252,317,622,1324,748,71,72,139,256,396,376
KNICKERBOCKER,60,1193,1139,946,688,241,29,193,464,604,493,214,154,411,521,948,1389,751,67,87,290,491,569,377
SENECA AVE,36,970,889,533,327,107,17,161,364,367,239,123,125,133,212,542,1027,554,74,59,131,268,365,299
FOREST AVE,68,1697,1201,742,441,153,29,298,451,420,290,142,203,169,236,708,1243,701,116,99,145,276,350,330
FRESH POND RD,87,2535,1776,1016,661,236,38,433,651,671,426,255,320,314,435,1393,2488,1287,171,177,286,569,777,620
METROPOLITAN AV,398,3012,2839,2369,2802,1494,407,830,1789,2614,2616,1957,464,999,1220,1482,3284,1602,514,628,1324,2311,2641,1848
INWOOD-207 ST,177,3184,2620,1789,1322,571,99,833,1561,1761,1089,500,216,303,485,872,1504,969,133,211,454,654,761,604
DYCKMAN ST,269,3675,4062,3053,2529,1170,363,1224,2556,3090,2620,1629,322,293,683,813,1379,987,477,182,499,783,1041,951
190 ST,43,1126,1924,865,911,184,54,232,822,1034,869,123,56,133,362,417,707,369,86,47,344,651,442,280
181 ST,286,5664,6401,5134,4399,1537,308,1769,4170,4562,3916,2109,1164,1362,3112,4448,7269,4506,1091,743,2234,3617,4424,3728
175 ST,117,3236,4835,2399,2665,785,252,909,2324,2584,1807,1058,260,439,807,1294,3172,1431,490,276,630,1114,1671,1053
168 ST,316,3103,5554,5645,9838,2072,423,1251,3289,4133,3482,2039,437,2722,6612,3533,3507,2104,903,839,1519,2462,2783,2412
163 ST-AMSTERDM,117,1289,1241,977,683,304,46,433,722,820,459,208,109,111,192,271,354,251,47,42,90,166,228,112
155 ST,180,1721,1734,1531,1110,482,91,576,1119,1280,867,506,275,438,526,918,1243,820,123,178,281,510,488,438
145 ST,563,6882,11868,7494,7780,3102,928,2660,7389,8251,6759,3746,1660,1823,4364,5854,10394,6973,2856,1170,3141,5069,7641,6142
135 ST,395,3529,6189,4678,5037,1822,468,1102,3224,3828,3002,1812,364,1072,1737,1812,2444,1471,391,349,826,1025,971,950
125 ST,1996,11696,18911,18832,21482,8923,1897,4175,10552,16332,17116,10230,2073,8635,12897,12443,15220,8398,2516,3997,8897,11986,12211,8562
116 ST,816,6930,8106,8376,7770,3527,473,2200,5292,9347,9143,4577,813,2356,3281,4206,5096,3036,552,1162,3638,5916,3978,2609
CATHEDRAL PKWY,445,4088,4775,4910,4873,2266,190,869,2947,4056,3744,2080,451,1702,2002,2318,3241,1984,222,559,1269,1708,1861,1526
103 ST,701,6136,7638,7978,7754,3604,200,1828,4713,6103,5890,3266,967,2630,3673,4767,7026,4060,493,1162,2483,3909,3773,2937
96 ST,1303,11013,15660,15865,18042,7914,521,2372,8162,11012,10864,6441,1563,7211,9157,10513,14958,7972,980,2453,5782,8241,8479,6246
81 ST-MUSEUM,383,1201,2066,4477,5005,2457,152,177,1244,3984,3841,1855,137,1688,3737,3215,3156,1252,55,415,2506,3136,2368,865
72 ST,1171,6451,10214,11456,13915,7911,422,1229,6483,10854,12057,7219,950,5583,9833,10386,15012,6714,468,2482,7891,11048,10236,5222
59 ST COLUMBUS,1475,2691,11063,16485,29817,12292,2302,1154,7273,11664,15975,9288,495,7351,20811,11908,12966,3789,871,4355,8064,11881,9432,4090
42 ST-PORT AUTH,2890,19105,31263,16113,22768,12795,1581,4478,11486,15374,15255,12647,1689,6979,13236,15567,30485,10578,1533,3923,10447,13568,13589,8910
34 ST-PENN STA,2948,28994,52789,28395,44037,17060,2701,4593,15246,24074,26136,18900,1914,12231,31466,30533,54971,14067,2442,5585,18369,24028,22465,12844
14 ST,1817,2715,10409,13248,24151,11813,3535,1427,4797,11319,13777,10128,656,5624,16809,10406,12642,4312,1180,1831,6953,10341,8870,5410
W 4 ST-WASH SQ,2534,3902,5362,8389,13072,9389,1935,1481,3433,8443,10045,8948,916,5137,8728,8190,10089,4735,891,2011,6306,8991,8322,5293
SPRING ST,354,838,3635,5267,11046,3398,809,286,1434,4141,5132,2572,110,943,4887,3389,4109,1123,233,359,2239,3200,3035,1352
WORLD TRADE CTR,207,1049,2551,3241,8865,1659,372,380,1305,3361,4045,1836,126,1343,3857,1645,2690,849,289,352,1613,2535,1899,1173
HIGH ST,95,607,2420,1802,3449,1311,14,4,5,1,1,1,115,984,3584,1842,2855,1104,69,2,5,7,1,2
HOYT-SCHER,128,575,2040,2589,3858,1237,330,203,954,1918,2118,1231,127,1108,2769,1720,2179,805,203,322,1314,1754,1603,880
LAFAYETTE AV,160,653,928,1073,1221,688,131,192,537,974,1097,825,83,194,320,401,513,332,77,134,329,507,585,393
CLINTON-WASH AV,128,2057,4101,2227,2773,866,198,345,1448,1885,1708,931,159,680,1224,980,1841,1229,246,239,667,987,923,863
FRANKLIN AV,341,3858,7200,3672,3456,1595,458,1007,3159,3708,2926,1873,651,1181,1987,2404,5359,3391,777,540,1285,2000,2436,2586
NOSTRAND AV,355,3737,7967,4188,4513,1972,488,1240,4048,4655,3707,2009,672,1342,2353,2763,5708,3563,855,755,2146,2672,3054,2179
KINGSTON-THROOP,99,1192,2424,1391,1261,415,170,367,1247,1222,922,541,383,375,776,904,1608,1144,453,181,491,719,878,1077
UTICA AV,416,4678,4576,3370,2763,1396,196,1478,2807,3354,2561,1441,709,1091,1409,2403,4270,2814,445,705,1248,2039,1993,2030
RALPH AV,177,1705,1631,1290,934,439,76,527,981,1134,878,475,198,290,352,570,914,612,133,160,241,444,529,540
ROCKAWAY AV,236,3470,3354,2522,1932,767,76,517,983,1027,770,439,480,834,1352,2248,3522,1686,121,147,226,414,472,583
BROADWAY JCT,241,2022,2539,1883,1853,803,293,905,1721,1790,1409,1146,339,929,1232,1715,2724,1268,677,506,969,1358,1633,1422
LIBERTY AV,62,825,742,719,549,226,38,272,442,477,321,178,85,233,278,340,365,198,54,95,162,200,176,176
VAN SICLEN AVE,120,1106,907,654,422,200,43,372,588,599,423,244,274,251,303,781,1023,558,151,162,224,456,479,574
SHEPHERD AV,96,1167,927,645,450,209,47,411,558,588,395,232,116,169,193,367,517,298,92,120,139,271,272,287
EUCLID AV,153,3302,3366,2199,1609,723,170,1186,1951,1777,1312,855,154,252,518,676,1139,557,231,183,435,518,583,536
GRANT AV,89,2067,2165,1165,768,335,83,682,1164,1001,753,345,360,200,471,1096,2033,958,416,241,393,770,877,754
80 ST,123,1701,1272,761,425,167,62,500,674,644,427,195,172,93,152,417,991,604,136,99,99,268,327,331
88 ST,85,1323,829,389,228,110,28,306,414,335,221,120,57,47,56,193,531,278,37,38,59,121,158,122
ROCKAWAY BLVD,261,2806,1997,1349,1102,570,107,778,1040,1069,902,566,90,235,286,454,848,470,57,132,194,302,305,252
OZONE PK LEFFRT,105,3768,2001,1074,839,351,132,803,1067,984,769,391,264,306,670,1125,3403,1169,263,245,497,881,1129,646
AQUEDUCT N.COND,62,460,247,158,124,77,22,89,95,117,134,103,79,80,200,355,574,295,47,121,465,619,374,230
AQUEDUCT RACETR,119,188,127,318,464,264,225,204,91,468,910,617,13,16,41,60,47,35,18,11,53,72,47,41
BROAD CHANNEL,20,124,66,58,40,22,5,34,28,46,49,20,5,6,12,26,22,12,3,9,17,23,23,14
BEACH 90 ST,72,342,235,308,554,222,22,85,125,406,721,280,60,57,247,379,338,162,48,68,242,452,244,105
BEACH 98 ST,44,189,94,250,315,131,16,36,65,244,344,124,38,45,226,310,242,97,23,28,188,339,175,77
BEACH 105 ST,14,89,63,108,118,37,10,12,19,112,214,67,18,46,99,175,142,55,17,10,78,127,62,26
ROCKAWAY PARK B,55,203,152,229,395,144,21,51,78,191,334,138,44,120,231,348,332,154,32,71,196,313,221,101
BEACH 67 ST,80,921,675,523,699,287,52,289,396,525,747,260,146,147,359,686,828,444,177,107,370,619,406,275
BEACH 60 ST,64,856,624,445,465,165,65,297,408,434,355,200,105,135,220,427,698,363,178,88,149,338,344,277
BEACH 44 ST,11,250,168,166,112,43,21,70,118,135,81,57,60,86,99,158,302,164,74,49,71,117,132,107
BEACH 36 ST,20,407,240,187,149,71,21,92,122,166,112,78,105,64,139,219,433,233,103,42,98,163,188,153
BEACH 25 ST,48,808,522,419,273,108,36,231,303,265,199,180,149,189,274,362,849,539,168,90,154,239,305,350
FAR ROCKAWAY,111,1495,1014,929,1066,392,123,452,762,837,714,383,282,632,837,819,1579,1042,331,379,505,683,826,630
161/YANKEE STAD,536,5125,5869,5817,5181,1912,467,1994,3488,4383,3512,15126,565,1260,2750,2840,3672,1868,592,591,1357,2842,10449,2944
167 ST,312,5157,5475,4174,3378,1455,379,2234,3684,3778,2723,1712,780,860,2045,3072,4835,2476,910,542,1264,2115,3178,2544
170 ST,310,4567,4347,3658,2669,1030,262,1967,2919,3299,2041,1316,594,798,1569,2325,3508,1785,576,473,1157,1774,2397,1741
174-175 STS,79,1296,1574,1246,1233,367,100,642,1006,1109,775,424,91,151,352,419,685,273,77,90,172,311,360,271
TREMONT AV,293,3116,2959,2009,1424,619,133,1313,1617,1690,1221,679,441,556,877,1239,1767,1056,285,415,575,876,1119,905
182-183 STS,76,1471,1483,1075,765,369,81,691,963,995,773,387,113,135,218,390,589,322,97,68,149,253,252,192
FORDHAM RD,325,5312,5884,5115,5183,2048,370,2309,3716,4850,3972,2414,506,510,1248,1544,3018,1174,792,422,1030,1658,2203,1410
KINGSBRIDGE RD,541,5364,4522,3764,2698,1152,215,2207,2728,2896,2118,1099,730,1136,1614,2467,3521,2108,434,698,1095,1737,2214,1803
BEDFORD PK BLVD,242,3825,3260,2497,1853,778,150,1278,1861,2125,1663,852,487,722,1076,1641,2802,1449,395,470,891,1292,1531,1085
NORWOOD 205 ST,261,3074,2376,1706,1250,552,117,1120,1467,1487,1050,563,496,526,664,1286,2102,1313,323,369,463,755,1223,1004
5 AV/53 ST,365,340,1797,8339,11442,4956,16,131,646,1860,2241,1169,322,9350,12230,5107,2933,1028,41,691,1784,2251,1576,580
LEXINGTON AV/53,569,1325,5577,8577,26017,5480,954,445,2381,3819,4191,2434,251,7918,25494,6492,7476,2095,469,1002,3143,3225,3252,2134
COURT SQ-23 ST,124,823,2579,1655,3153,874,199,256,1011,1295,1129,496,61,783,760,397,504,196,44,133,257,273,237,148
