,Weekday Entries 0-4 am,Weekday Entries 4-8 am,Weekday Entries 8-12 pm,Weekday Entries 12-4 pm,Weekday Entries 4-8 pm,Weekday Entries 8-12 am,Weekend Entries 0-4 am,Weekend Entries 4-8 am,Weekend Entries 8-12 pm,Weekend Entries 12-4 pm,Weekend Entries 4-8 pm,Weekend Entries 8-12 am,Weekday Exits 0-4 am,Weekday Exits 4-8 am,Weekday Exits 8-12 pm,Weekday Exits 12-4 pm,Weekday Exits 4-8 pm,Weekday Exits 8-12 am,Weekend Exits 0-4 am,Weekend Exits 4-8 am,Weekend Exits 8-12 pm,Weekend Exits 12-4 pm,Weekend Exits 4-8 pm,Weekend Exits 8-12 am
QUEENS PLAZA,170,1106,2082,3992,3983,1360,60,572,1549,1996,1553,680,268,2660,2752,1928,1971,1194,144,817,1095,1265,1497,1220
STEINWAY ST,239,2154,4830,2911,3295,1435,392,486,1598,2234,2001,1188,255,741,1685,2123,4134,1886,415,276,1131,1436,1927,1529
46 ST,198,2821,2521,1802,1343,608,57,526,994,1061,827,452,307,721,1062,1435,2533,1544,139,246,506,736,1202,964
NORTHERN BLVD,121,2189,1912,1410,1211,460,57,464,734,821,651,300,228,724,765,1200,1887,1072,97,186,337,573,763,601
65 ST,49,1095,1050,737,508,191,13,328,560,490,320,134,167,181,261,568,947,679,83,110,174,296,504,458
JKSN HT-ROOSVLT,798,10187,16237,9230,9404,4101,1085,5168,12080,11378,9048,4596,1751,2032,4098,7663,15713,7215,3090,1651,3976,6489,8371,6557
ELMHURST AV,49,3276,4830,2340,1968,564,44,405,1103,1105,771,270,111,120,320,620,1159,644,102,29,99,155,269,240
GRAND-NEWTOWN,97,5330,6815,3208,2892,918,99,1337,2514,2172,1565,593,366,457,1054,1932,4333,2400,462,263,888,1145,1441,1212
63 DR-REGO PARK,88,3593,5642,3031,3328,1022,94,772,2004,2173,1758,755,148,363,1088,1287,2370,872,131,107,320,514,541,388
67 AV,38,2561,3895,1459,1244,345,44,370,1072,988,624,240,87,338,535,674,2156,864,122,101,206,327,339,295
FOREST HILLS 71,491,8260,7913,5240,4614,2127,231,1929,4169,4630,3615,4415,456,1062,1882,2997,5685,2696,305,796,1750,2637,3601,2255
75 AV,12,910,1495,544,643,198,37,47,246,268,183,124,15,60,199,205,306,161,54,33,96,116,143,96
KEW GARDENS,1058,6025,9700,5049,4327,1636,252,1822,3731,3617,2702,1245,1170,1952,4178,6227,9309,5479,209,1028,1963,2659,3486,3016
BRIARWOOD,26,1631,1881,829,613,183,19,232,578,481,332,158,98,131,233,384,1156,574,135,54,134,228,379,344
SUTPHIN BLVD,104,1305,1268,1079,714,242,30,327,521,512,355,171,132,207,381,608,910,501,61,120,202,358,530,345
PARSONS BLVD,100,1948,1765,1407,1180,345,100,769,1176,1220,736,434,326,503,918,1145,2136,1001,422,290,594,788,1033,749
169 ST,79,2342,2305,1810,1507,509,79,780,1239,1409,1124,514,315,490,927,1449,3283,1178,372,242,640,870,1297,1024
JAMAICA 179 ST,195,10289,6862,3044,2582,901,189,2038,2869,2659,1862,1277,453,568,1117,1732,4301,1749,537,480,906,1156,1639,1280
COURT SQ,314,903,2630,3331,7369,1633,616,802,1981,2770,2843,1455,312,2474,4801,1928,2459,1208,321,722,1907,2209,2137,1520
21 ST,32,165,225,415,617,259,0,0,0,0,0,0,19,505,438,303,276,156,0,0,0,0,0,0
GREENPOINT AV,0,1206,2849,1520,2620,762,0,0,0,0,0,0,11,808,1423,988,2181,754,8,2,4,3,0,4
NASSAU AV,0,1309,3186,1332,2175,682,0,0,1,1,1,2,19,358,656,739,1766,619,16,6,2,1,3,24
BROADWAY,146,3530,6019,2390,2953,1069,270,736,2650,3019,2407,1171,500,896,1441,2096,4651,3052,709,278,873,1264,1914,1478
MYRTLE-WILLOUGH,43,1619,1666,1122,852,292,0,1,21,6,0,0,110,234,281,459,968,556,1,4,8,2,1,0
BEDFORD-NOSTRAN,165,1665,3749,1486,1586,507,303,609,2008,2413,2151,1062,264,336,500,777,1893,1304,601,618,947,1385,1423,1325
CLASSON AV,53,885,2038,859,976,328,104,211,769,1005,708,327,106,414,619,737,2031,1132,174,115,297,492,648,582
47-50 STS ROCK,1207,660,3761,10879,39467,8595,1701,420,1743,3982,6387,4081,210,9878,37679,9716,6661,1861,362,1522,4165,4985,3205,2062
42 ST-BRYANT PK,1003,751,3773,8057,25995,7738,1665,416,1629,3852,5861,4029,292,5552,21430,7269,7046,1647,542,1148,3862,4927,3976,2633
B'WAY-LAFAYETTE,654,782,2212,4980,9323,4520,369,282,1166,3807,4794,2772,373,4134,8434,6889,7004,2693,242,1168,4713,6412,5034,2562
2 AV,513,1325,4216,3154,4628,3300,1730,520,1794,3229,3632,3016,186,1306,3274,2920,5382,2307,757,515,2452,3906,4014,3112
EAST BROADWAY,144,1446,3691,3573,4508,1459,318,591,2010,2882,2903,1381,86,728,1446,1347,1657,1001,393,399,1496,1695,1325,1073
YORK ST,268,1102,1520,2257,4010,1737,79,315,1188,2495,2723,1762,93,594,1648,1195,880,463,136,487,1843,2198,1791,936
BERGEN ST,287,2750,4665,3267,3396,1633,241,415,1919,2817,2896,1854,266,1155,1754,1965,3437,1631,126,316,1264,1969,2157,1231
CARROLL ST,76,1562,4780,2100,3099,857,259,215,1412,1876,1923,1105,62,582,1180,1018,1610,764,163,172,642,882,910,563
SMITH-9 ST,71,604,1316,986,1368,435,91,237,658,936,893,459,137,952,1308,1019,1504,642,182,394,879,1013,896,537
4 AV-9 ST,52,446,1191,831,1382,361,206,178,657,976,1122,852,98,566,972,856,2239,877,276,203,656,1101,1378,911
15 ST-PROSPECT,51,1795,2067,1171,1146,374,49,226,989,1176,1052,786,108,275,399,755,1613,794,98,112,532,756,820,608
DITMAS AV,76,1168,1077,831,664,254,41,328,490,507,370,186,118,176,264,489,756,467,85,82,122,234,334,274
AVENUE I,18,93,178,204,195,80,8,43,82,117,100,58,45,213,271,331,522,257,27,68,118,162,177,126
AVENUE N,33,653,506,399,348,120,11,183,249,225,168,67,70,283,288,361,712,370,32,58,91,156,241,208
AVENUE P,11,414,576,314,307,64,9,134,239,208,184,68,66,171,278,310,928,398,107,50,122,176,314,247
AVENUE X,17,995,803,494,416,152,42,258,426,436,268,155,38,185,308,319,822,334,74,79,140,208,308,216
NEPTUNE AV,38,488,407,380,304,96,10,104,212,197,169,71,16,75,108,119,174,88,9,34,54,65,74,49
57 ST,521,339,1497,3595,6502,3160,191,238,1032,2190,2739,1747,177,2407,5244,2813,1760,786,89,1046,1910,2251,1562,807
LEXINGTON AV/63,339,1089,3736,4474,8680,2909,542,406,1741,3257,4005,1960,227,3378,8111,4193,4943,1390,541,1108,3305,3889,3511,1928
ROOSEVELT ISLND,77,885,2765,1547,1438,551,89,234,1358,1666,1497,648,122,631,921,1112,2189,1458,279,197,570,1162,1447,1164
21 ST-QNSBRIDGE,115,1562,3140,2108,2901,623,170,633,1942,1933,1516,678,242,958,1234,1290,1774,1197,348,495,856,968,1478,1121
JAMAICA VAN WK,121,1400,1239,1109,940,370,47,525,703,738,539,277,229,682,722,1152,1769,906,106,273,377,626,752,643
SUTPHIN-ARCHER,552,6360,5964,4533,5054,2183,675,2182,3480,3931,3956,2775,773,2013,3327,4042,6880,3016,990,1204,2348,3206,3212,2571
JAMAICA CENTER,549,13083,10463,7100,7223,2500,535,3454,4302,4917,4386,2785,1495,2480,5782,6520,13049,5438,1927,1501,2950,3708,5001,3834
72 ST-2 AVE,492,4237,5171,7541,8976,3779,135,832,3093,4345,4100,2282,466,5734,6087,4747,6106,3105,237,1217,2300,3121,3334,2268
86 ST-2 AVE,420,5998,6268,4837,5281,3105,142,914,3996,5307,4920,2841,567,1615,2596,3496,6506,3768,313,783,2277,3524,3939,2829
96 ST-2 AVE,270,4298,4403,3969,3730,1664,73,952,2910,3545,3060,1631,534,1781,2090,2631,4431,2647,401,655,1303,2047,2504,2064
ORCHARD BEACH,0,0,0,0,14,0,0,0,1,11,0,0,0,0,0,1,9,0,0,0,0,0,0,0
NEWARK HW BMEBE,83,2621,2474,710,820,220,4,47,140,475,298,67,192,351,522,1795,5508,1679,82,201,275,500,624,522
HARRISON,349,2981,4251,734,638,906,42,431,953,1083,3548,2145,309,329,419,1820,4754,2723,249,218,421,3074,3281,1130
JOURNAL SQUARE,761,6949,11297,3741,3205,1152,238,1794,4243,4517,3442,1634,1546,1623,2287,4621,11438,6793,419,1074,1586,2759,4776,4961
GROVE STREET,400,6155,8669,2626,2703,998,81,774,2547,3398,2853,1517,820,1169,2007,3128,8782,5468,170,496,1240,2482,3495,3451
EXCHANGE PLACE,191,2935,4459,3576,6491,1561,37,422,1289,1506,1117,593,346,3930,5360,2099,4126,2042,165,234,588,1153,1637,1474
PAVONIA/NEWPORT,307,2484,6693,3450,6286,1465,30,355,2120,2769,2364,1203,530,2017,5386,2295,7117,3624,138,255,929,2077,2810,2595
CITY / BUS,336,5378,8202,1837,2214,820,95,461,2039,2893,2426,1477,511,647,1854,2817,8842,4140,302,489,1100,1997,2936,3039
CHRISTOPHER ST,458,757,2665,2848,5167,3355,410,168,482,1309,1599,1370,98,1987,4165,2556,3868,1496,329,389,1591,2263,2609,2021
9TH STREET,171,293,531,680,1718,1106,353,195,287,735,1075,1114,76,899,1553,904,1021,425,50,215,877,1182,1203,745
14TH STREET,215,521,725,1343,2707,1605,58,225,464,997,1368,1084,199,1505,2783,1164,1475,561,49,347,1041,1630,1372,897
TWENTY THIRD ST,229,342,895,1669,5111,1850,73,99,324,837,1097,796,139,2769,6088,1626,1689,524,31,251,1129,1470,1174,585
THIRTY ST,454,698,1199,1509,4712,2697,285,180,243,679,1074,1553,209,2438,4744,2180,2519,1071,11,267,469,262,72,51
LACKAWANNA,172,3950,5838,816,1068,345,8,98,530,762,547,231,152,349,790,2381,6742,1702,39,106,295,534,711,606
THIRTY THIRD ST,766,2003,3120,4322,12060,5068,362,645,1499,3088,4538,4092,439,4659,10069,2170,3178,799,93,944,4099,5159,4973,2981
NEWARK BM BW,707,5318,6109,2550,3031,1359,0,0,200,1519,2285,1644,106,105,61,88,63,56,2,10,30,90,113,71
NEWARK C,89,3563,3209,294,231,68,0,0,21,184,225,46,1,23,42,30,27,21,0,0,2,17,17,4
NEWARK HM HE,0,2,2,2,4,3,196,1438,2493,1163,21,0,670,1710,2696,3901,8506,3898,456,788,1311,2048,3133,2501
PATH WTC 2,71,108,185,564,1688,616,22,83,157,374,375,406,113,2609,5022,1444,1697,611,26,292,1142,1480,915,482
PATH NEW WTC,1228,4010,6016,11792,27636,10300,469,865,1978,5169,6970,4951,752,15729,23105,6455,6367,2400,177,1680,5041,5504,4609,2827
SOUTH FERRY,275,3128,3023,3647,4464,1717,74,738,1606,3188,3531,1690,354,2125,4590,3909,3867,1857,233,901,3882,4007,2826,1661
WALL ST,603,2338,6395,11119,24728,5411,668,320,1643,2939,3236,1588,251,9101,22005,6494,5455,1948,333,770,2841,2999,2223,1486
FRANKLIN ST,122,463,986,1661,2243,941,11,33,141,317,310,148,33,633,1007,820,715,274,18,80,262,348,345,174
HOUSTON ST,316,646,1886,3976,6933,2910,66,100,272,651,656,479,110,1817,3374,2296,1854,738,59,225,763,968,1071,604
18 ST,79,299,1648,1958,4131,1255,40,24,214,446,433,166,22,430,1974,1166,1565,299,38,94,575,715,544,257
66 ST-LINCOLN,624,2019,3587,5610,6590,3672,80,349,2004,3814,4111,3134,281,3183,4940,3999,4621,1955,133,821,2430,3783,3512,1621
116 ST-COLUMBIA,243,1005,1851,3250,4622,1940,44,246,1112,1810,1797,1103,168,1403,2072,1482,1304,687,90,297,743,1030,876,551
137 ST CITY COL,295,3151,3433,3137,2653,1139,131,1069,2264,2589,1952,1119,712,1097,1712,2440,3427,2429,446,522,901,1568,2037,1961
157 ST,257,2608,2769,2568,2116,895,109,1024,2191,2488,1981,1096,545,608,888,1462,2224,1712,354,381,711,1243,1452,1558
191 ST,102,1953,2422,1903,1722,585,126,727,1583,1674,1264,867,467,580,1499,1872,3366,2066,669,311,971,1346,1925,1693
207 ST,154,1276,1890,1472,1537,672,192,584,1177,1408,1380,851,170,339,604,668,1000,533,186,144,428,669,610,505
215 ST,33,295,500,550,486,266,46,92,299,479,352,174,22,81,196,216,273,119,32,37,156,163,175,125
MARBLE HILL-225,68,1320,1547,1164,1159,495,116,464,925,1195,924,562,40,106,171,253,585,230,55,30,83,241,280,186
231 ST,131,2598,2956,1874,1944,788,145,713,1601,1995,1512,765,62,94,204,267,661,249,103,49,152,223,269,184
238 ST,99,1710,1271,825,553,306,48,399,712,796,632,364,4,7,17,26,30,19,3,7,16,32,27,20
V.CORTLANDT PK,47,2610,2069,1277,1145,1008,78,671,1171,1252,1032,509,105,205,392,489,1661,663,261,133,413,558,704,504
BOWLING GREEN,235,2200,5632,6868,16764,2469,14,3,3,7,4,9,257,4096,13118,5149,5143,1402,56,12,13,5,15,8
BROOKLYN BRIDGE,230,810,3657,5113,9408,2009,537,355,1656,3593,4044,2200,108,2766,7813,3276,2554,807,373,826,2799,3046,2309,1190
BLEECKER ST,522,1022,3645,2881,5427,2992,1260,404,1213,2691,3087,2279,102,568,1679,1105,1917,503,234,197,739,1140,930,424
ASTOR PL,597,2360,3024,3436,4430,2798,607,495,1310,2635,2803,2395,305,1700,3552,3754,5428,2439,114,568,2177,3408,3633,2144
33 ST,722,2838,5049,7756,10687,4812,323,614,2280,3691,3722,2449,387,4391,6781,5392,4714,2077,148,916,2248,2944,2930,1949
GRD CNTRL-42 ST,2231,15023,28545,29485,62141,21649,2202,2057,9313,15673,15503,8584,1296,25766,45550,26961,32829,10601,1042,4285,11493,13950,12448,7699
51 ST,394,456,3041,4664,12057,2740,600,252,1731,2536,2703,1513,148,3347,12269,4372,3860,1161,331,878,2087,2620,2621,1662
68ST-HUNTER CO,464,1493,3345,7026,7797,3150,59,338,1293,2419,2587,1300,236,4048,5171,3721,2655,1047,75,1187,1985,2143,1476,781
110 ST,150,1923,3904,2764,2827,1007,272,732,2078,2852,4210,1384,304,1185,1744,2009,2998,1493,618,470,1351,2924,1846,1302
138/GRAND CONC,67,725,902,756,938,226,66,239,379,489,402,180,126,501,680,677,760,292,149,248,415,350,435,246
149/GRAND CONC,279,1783,2856,3607,3449,1412,369,734,1588,2007,1643,1091,551,1044,2198,1640,1791,914,527,501,1182,1445,1677,1016
MT EDEN AV,126,1388,1431,1216,1068,409,114,592,976,1042,781,449,250,430,666,732,1198,698,257,220,427,582,734,582
176 ST,101,1634,1680,1365,1151,447,111,655,1154,1253,785,548,175,233,547,665,1029,647,221,145,357,506,709,515
BURNSIDE AV,192,2523,2717,2560,2033,765,197,965,1764,2186,1362,751,340,299,780,1143,1764,1043,422,233,591,846,1154,905
183 ST,121,1840,1751,1295,945,462,117,792,1077,1126,760,507,225,255,417,737,1228,679,255,124,332,479,677,525
MOSHOLU PKWY,255,2056,2026,2077,1753,717,87,856,1248,1386,1155,632,133,269,587,669,734,379,74,155,281,443,477,344
WOODLAWN,106,2464,1769,1307,1308,593,186,665,996,1249,1339,800,112,112,267,330,623,249,131,85,231,304,311,279
CENTRAL PK N110,122,1473,2830,1896,2301,948,245,542,1653,2096,2131,1090,260,855,1468,1444,2559,1383,518,383,1075,1766,1616,1320
HARLEM 148 ST,0,959,1373,813,710,215,59,262,700,759,497,260,73,170,528,731,1398,721,256,96,345,567,826,683
3 AV-149 ST,319,4632,6795,7165,5545,1612,428,2005,3818,4841,3314,1831,327,726,2152,1946,2362,1231,518,564,1598,2105,2426,1496
JACKSON AV,133,1400,1090,972,885,426,59,571,792,811,629,357,54,118,209,265,327,182,42,42,85,117,106,135
PROSPECT AV,209,1814,1388,1375,1273,621,79,714,1139,1269,957,591,100,216,333,509,628,381,76,76,147,190,198,238
INTERVALE AV,87,775,728,824,626,262,46,316,430,508,407,260,192,450,541,792,881,511,101,200,264,318,336,330
SIMPSON ST,232,2179,1747,1789,1796,792,83,854,1370,1590,1217,683,107,231,315,628,735,360,57,98,205,353,390,314
FREEMAN ST,137,1393,1098,989,766,353,71,520,683,775,559,414,324,472,539,933,1235,865,175,179,183,267,386,455
174 ST,206,1697,1742,1469,1258,545,81,744,1099,1190,843,583,367,638,1075,1297,1691,1060,193,366,596,825,1019,888
WEST FARMS SQ,240,1776,1723,1824,1437,630,138,728,1077,1248,980,562,267,567,652,809,1055,707,143,302,523,711,803,621
E 180 ST,231,2549,1936,1476,1103,530,146,1046,1332,1546,1285,674,363,510,991,1576,1999,1184,297,476,744,1278,1619,1217
BRONX PARK EAST,90,905,697,535,354,162,41,285,405,416,333,197,48,140,168,242,353,188,25,69,130,179,186,134
PELHAM PKWY,333,3653,2952,2683,2292,1012,121,1048,1607,2020,1666,904,295,709,1117,1372,1849,1024,136,344,614,878,919,658
ALLERTON AV,174,1662,1378,1105,825,395,85,687,989,1001,796,455,97,191,299,454,618,375,56,130,290,389,394,293
BURKE AV,128,1219,916,601,423,218,56,423,530,542,434,244,88,97,123,265,407,259,49,66,119,182,204,188
GUN HILL RD,376,4329,3390,2760,2070,935,186,1233,1793,1930,1575,975,533,1177,1537,2081,2989,1682,317,562,1162,1456,1472,1293
219 ST,129,1241,946,595,452,245,59,414,547,560,461,331,80,214,249,357,505,304,31,78,170,233,300,237
225 ST,139,1488,1175,867,647,298,58,549,771,765,582,334,124,200,252,416,677,424,66,101,178,288,360,301
233 ST,165,1683,1277,1035,753,372,80,541,825,892,691,391,95,142,235,374,531,294,40,100,172,238,262,243
NEREID AV,108,1287,970,703,545,258,40,359,542,531,418,261,58,144,215,300,482,233,45,88,145,187,218,153
WAKEFIELD/241,266,1668,1288,1061,933,480,140,663,857,929,785,566,398,679,678,1137,1737,1098,254,458,589,826,1095,904
3 AV 138 ST,208,2221,1928,1952,1600,625,98,853,1322,1545,1036,544,283,662,832,1304,1588,1006,215,306,474,842,1009,893
BROOK AV,156,1591,1450,1508,1171,484,86,674,1120,1390,951,429,326,787,846,1277,1500,974,220,394,643,933,1048,824
CYPRESS AV,127,951,817,1053,918,398,58,408,590,833,594,310,144,605,516,511,617,373,71,278,316,328,428,308
E 143/ST MARY'S,19,166,170,317,253,68,7,68,119,177,130,70,31,297,240,190,196,101,17,109,119,147,144,88
E 149 ST,157,1479,1318,1226,868,388,96,617,886,1046,666,381,252,637,641,1013,1277,832,171,328,444,718,935,742
LONGWOOD AV,113,965,874,960,760,318,45,341,532,702,524,270,175,577,563,674,792,511,116,251,317,433,522,440
HUNTS POINT AV,333,3032,2769,2505,1883,833,135,1053,1512,1834,1299,690,448,1356,1336,1916,2408,1269,275,509,795,1319,1588,1081
WHITLOCK AV,44,568,575,462,356,118,35,219,349,416,231,147,100,192,285,444,747,348,210,97,185,348,494,364
ELDER AV,248,2281,1624,1338,871,359,111,1037,1272,1213,812,442,466,443,758,1339,2075,1339,311,375,596,996,1332,1139
MORISN AV/SNDVW,125,2483,1868,1277,842,361,122,967,1277,1184,876,518,388,328,596,1179,2100,1165,562,236,521,829,1327,991
ST LAWRENCE AV,66,1512,1206,741,490,271,69,585,844,819,516,301,294,202,422,785,1619,803,401,175,355,602,952,730
PARKCHESTER,489,6061,4516,3004,1884,849,181,1800,2777,2853,1860,900,923,1059,1645,3850,6593,3451,657,815,1246,2109,3057,2431
CASTLE HILL AV,99,2241,2002,1319,955,445,136,667,1111,1267,835,461,353,441,777,1256,2774,1221,488,291,683,1010,1501,984
ZEREGA AV,74,853,713,596,407,160,24,241,398,423,279,137,127,400,405,550,785,452,75,162,197,263,387,315
WESTCHESTER SQ,76,1549,1456,1556,1614,432,139,425,780,1077,770,371,189,621,1289,1183,1756,762,318,317,731,2212,921,607
MIDDLETOWN RD,56,931,559,373,239,103,18,148,207,270,200,108,83,187,242,471,794,380,56,89,169,262,248,185
BUHRE AV,81,1628,1051,604,383,149,35,302,478,500,353,191,163,252,331,836,1486,734,108,156,261,419,524,406
PELHAM BAY PARK,121,2693,1952,1302,1287,581,178,523,952,1222,1380,861,129,419,756,1055,1587,678,203,290,828,1027,943,537
5 AVE,183,171,946,2598,8254,2311,386,99,473,1529,2156,1166,42,1535,6131,2097,1835,490,85,376,1503,1606,1136,496
VERNON-JACKSON,220,2225,7058,2453,3490,1397,328,527,2235,3106,2834,1759,214,1311,1825,1789,4649,2190,442,494,1407,2215,2614,1716
HUNTERS PT AV,199,2354,1502,1830,1664,613,122,275,319,491,365,173,182,1644,1113,1105,1753,634,120,371,283,344,358,241
QUEENSBORO PLZ,282,1152,3339,3087,4719,1165,390,753,2308,2803,2486,1155,130,782,1091,564,1076,725,209,278,448,554,584,638
39 AV,55,286,769,477,1087,207,60,154,580,591,660,205,55,291,647,392,437,376,79,113,197,206,334,295
36 AV,91,1218,2356,1011,1475,410,189,397,1162,1473,1145,549,215,483,1061,1006,1674,1020,276,188,548,778,1013,772
30 AV,150,3019,6026,2023,2297,738,228,752,2355,2753,2024,1019,532,652,1261,1552,4386,3140,948,360,897,1407,2092,1590
ASTORIA BLVD,99,2767,5392,1855,1734,557,332,655,1823,2056,1903,1436,369,474,718,1215,3780,2353,624,275,599,1241,2145,1642
ASTORIA DITMARS,130,3998,7326,2589,2428,813,279,774,2554,2973,2096,1259,592,724,1232,2204,6463,3762,1036,389,1021,1718,2806,1970
33 ST-RAWSON ST,75,422,1778,3875,5656,1543,122,120,634,1087,758,277,91,1842,3910,1819,1519,316,99,486,1139,517,273,182
40 ST LOWERY ST,79,2008,3951,2035,2377,661,157,429,1371,1474,1130,553,299,894,1283,1683,3229,1940,542,301,797,1080,1601,1311
46 ST BLISS ST,191,3027,4781,2444,2594,858,264,987,2334,2375,2024,825,444,894,1128,1671,3616,2378,663,429,747,1073,1708,1660
52 ST,140,1871,1798,1332,1000,474,48,476,891,918,734,418,406,374,615,1065,2237,1571,208,196,332,635,1001,1028
61 ST WOODSIDE,392,5165,4869,3292,2772,1276,182,2000,3419,3585,2710,1419,933,1421,1919,3778,6421,3843,493,1299,2424,3674,3954,2893
69 ST,122,1333,1296,1054,816,358,43,374,660,734,574,307,280,440,606,1036,1558,1006,148,282,452,596,730,747
74 ST-BROADWAY,71,363,742,732,852,472,96,167,568,832,818,592,153,236,665,1033,1914,798,255,220,752,1168,1344,987
82 ST-JACKSON H,204,3012,4174,3644,3834,1353,307,1402,3107,3726,3147,1411,638,991,3109,3658,6369,2974,1251,640,2393,3776,4102,2891
90 ST-ELMHURST,213,5350,4916,2990,2798,1024,219,2492,3886,3335,2536,1125,458,391,1034,1488,2964,1686,620,319,985,1582,1835,1418
JUNCTION BLVD,199,7410,6068,3488,3161,1219,298,3861,4636,4006,3111,1388,830,678,1675,2784,8608,3367,1387,613,1714,3254,4350,2848
103 ST-CORONA,216,7504,5563,3410,2753,1139,258,3662,4327,3343,2522,1390,996,643,1513,2365,5617,3171,1422,563,1496,2157,3875,2921
METS-WILLETS PT,2141,696,552,782,1336,6598,22,91,463,1001,1186,621,104,406,581,1310,6745,2367,24,305,905,1346,825,235
FLUSHING-MAIN,592,13735,16995,10355,11646,5087,769,4215,10336,10892,9763,5866,1237,3407,6909,7390,17459,8673,1815,2396,6559,7570,9523,6929
34 ST-HUDSON YD,133,387,1314,3206,4859,953,253,156,629,1754,1990,932,81,2576,4800,1766,1776,684,127,816,1829,2330,1500,729
CLARK ST,85,596,2169,1151,1656,749,220,183,1109,2063,2301,1654,64,295,753,752,1476,826,160,113,637,1107,1144,666
HOYT ST,99,342,1504,2137,3403,1033,221,154,816,1689,1874,1062,60,785,2215,1470,1791,500,176,308,1313,1877,1793,848
NEVINS ST,168,837,2408,2549,3398,1123,312,198,763,1426,1493,986,140,1510,2737,1906,3123,957,214,343,1037,1356,1162,665
GRAND ARMY PLAZ,46,902,3138,1417,1844,584,112,139,1025,1554,1565,860,37,215,572,579,1073,464,83,65,406,690,669,364
EASTN PKWY-MUSM,42,631,1782,927,1123,330,101,169,714,1651,1467,490,131,181,744,939,1693,986,246,98,895,1450,1016,694
KINGSTON AV,63,916,1646,1042,940,272,44,218,683,692,502,345,191,254,689,712,1422,881,245,89,343,453,578,648
CROWN HTS-UTICA,468,9055,10720,5451,4570,2022,728,3762,6900,6870,4764,2846,964,1079,2065,4254,9830,4608,2025,894,2014,3302,5691,4617
SUTTER AV-RUTLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARATOGA AV,73,2335,1794,1053,879,335,9,0,0,0,0,0,261,303,730,1195,2724,1145,17,1,9,4,1,0
JUNIUS ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENNSYLVANIA AV,58,1216,1193,958,789,256,0,0,0,2,0,0,80,188,364,500,796,329,5,6,1,0,0,0
NEW LOTS AV,177,2080,1688,1195,1008,420,2,0,0,1,0,1,305,459,824,1168,2532,1156,2,1,0,0,0,0
PRESIDENT ST,33,772,1464,873,748,233,55,169,563,624,470,279,159,359,715,811,1660,745,291,95,377,620,686,667
STERLING ST,54,1320,2222,1088,967,320,74,359,965,1054,716,380,120,181,401,618,1492,662,307,82,257,420,584,500
WINTHROP ST,111,1677,1717,1845,1634,551,64,463,809,971,734,365,64,307,314,304,397,208,28,66,148,210,203,162
BEVERLY RD,48,1447,1501,788,586,283,63,412,733,723,492,276,43,51,114,164,297,146,43,17,112,125,169,134
NEWKIRK AV,221,2777,2169,1382,896,426,85,824,1099,1105,774,457,261,343,517,1134,1833,1004,167,192,350,646,801,684
FLATBUSH AV-B.C,489,6953,5532,3869,2903,1268,181,1492,2316,2652,2140,1293,543,838,1466,2631,4141,2142,273,401,807,1281,1473,1250
MORRIS PARK,25,1141,720,426,286,99,0,116,166,193,133,50,112,134,249,574,1050,565,21,56,98,198,315,226
BAYCHESTER AV,76,1420,1010,774,501,181,29,229,336,375,286,158,37,53,100,152,219,144,17,20,37,80,88,80
EASTCHSTER/DYRE,106,1840,1231,776,630,254,25,218,364,422,343,207,187,599,535,1004,1664,859,72,218,301,437,505,394
ST. GEORGE,202,3744,2777,1644,5713,979,402,484,876,1284,1316,861,0,0,0,0,0,0,0,0,0,0,0,0
TOMPKINSVILLE,34,131,198,192,174,87,10,100,152,133,132,95,0,0,0,0,0,0,0,0,0,0,0,0
RIT-MANHATTAN,109,139,401,688,1485,742,62,85,612,1283,1284,757,4,3,219,81,11,4,2,2,10,12,12,9
RIT-ROOSEVELT,54,742,960,688,540,276,11,143,793,1235,1280,605,4,3,13,13,13,7,1,1,3,18,29,21
